trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
1,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
2,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
3,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
4,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
5,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
6,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
7,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
8,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
9,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
10,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
11,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
12,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
13,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
14,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
15,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
16,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
17,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
18,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
19,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
20,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
21,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
22,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
23,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
24,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
25,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
26,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
27,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
28,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
29,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
30,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
31,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
32,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
33,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
34,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
35,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
36,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
37,"[97]ADcQoOuPeaNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbcwtrgmwItljKcmxfQjcRGRiwIrSIpyLScEMJFBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
