trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
1,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
2,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
3,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,97,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
4,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
5,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
6,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
7,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
8,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
9,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
10,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
11,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
12,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
13,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
14,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
15,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
16,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
17,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
18,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
19,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
20,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
21,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
22,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,97,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
23,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
24,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
25,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
26,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
27,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
28,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
29,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,97,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
30,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,97,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
31,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
32,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,97,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
33,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
34,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
35,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
36,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,97,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
37,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
38,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
39,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,97,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
40,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,97,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
41,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,97,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
42,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,97,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
43,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmwItljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,97,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
