trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",815663,1,98,60,0,60,0,0,0,0,0,41,41,7,7,12,12,"True"
1,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",815663,1,98,60,0,60,0,0,0,0,0,41,41,7,7,12,12,"True"
2,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",516.988,0.965517,98,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
3,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",7523.16,0.97561,98,41,0,40,1,0,0,0,0,26,26,5,5,10,9,"True"
4,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",516.988,0.965517,98,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
5,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",516.988,0.965517,98,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
6,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",211.758,0.96,98,25,0,24,1,0,0,0,0,16,16,3,3,6,5,"True"
7,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",516.988,0.965517,98,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
8,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",815663,1,98,60,0,60,0,0,0,0,0,41,41,7,7,12,12,"True"
9,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",815663,1,98,60,0,60,0,0,0,0,0,41,41,7,7,12,12,"True"
10,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",516.988,0.965517,98,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
11,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",516.988,0.965517,98,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
12,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",516.988,0.965517,98,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
13,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",516.988,0.965517,98,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
14,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",211.758,0.96,98,25,0,24,1,0,0,0,0,16,16,3,3,6,5,"True"
15,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",211.758,0.96,98,25,0,24,1,0,0,0,0,16,16,3,3,6,5,"True"
16,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",211.758,0.96,98,25,0,24,1,0,0,0,0,16,16,3,3,6,5,"True"
17,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",815663,1,98,60,0,60,0,0,0,0,0,41,41,7,7,12,12,"True"
18,"[98]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRJwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEbmcBPlArj",516.988,0.965517,98,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
