trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",69.3889,0.95,94,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
1,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",213821,1,94,54,0,54,0,0,0,0,0,37,37,6,6,11,11,"True"
2,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",211.758,0.96,94,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
3,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",213821,1,94,54,0,54,0,0,0,0,0,37,37,6,6,11,11,"True"
4,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",417619,1,94,57,0,57,0,0,0,0,0,36,36,11,11,10,10,"True"
5,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",211.758,0.96,94,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
6,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",417619,1,94,57,0,57,0,0,0,0,0,36,36,11,11,10,10,"True"
7,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",69.3889,0.95,94,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
8,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",69.3889,0.95,94,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
9,"[94]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRByrnphARLGjiHHqOzlySchHeHdKcCLdyQDlymANyMiEpRqvsoxuRvHOFiftrJw",213821,1,94,54,0,54,0,0,0,0,0,37,37,6,6,11,11,"True"
