trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
1,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
2,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
3,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
4,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",652530,1,93,59,0,59,0,0,0,0,0,37,37,11,11,11,11,"True"
5,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
6,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",652530,1,93,59,0,59,0,0,0,0,0,37,37,11,11,11,11,"True"
7,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
8,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
9,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
10,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
11,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
12,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
13,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
14,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
15,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",652530,1,93,59,0,59,0,0,0,0,0,37,37,11,11,11,11,"True"
16,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
17,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
18,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
19,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
20,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
21,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
22,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",652530,1,93,59,0,59,0,0,0,0,0,37,37,11,11,11,11,"True"
23,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
24,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
25,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
26,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
27,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
28,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
29,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
30,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
31,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",334096,1,93,56,0,56,0,0,0,0,0,38,38,6,6,12,12,"True"
32,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",652530,1,93,59,0,59,0,0,0,0,0,37,37,11,11,11,11,"True"
33,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
34,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
35,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
36,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
37,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",211.758,0.96,93,25,0,24,1,0,0,0,0,16,16,4,4,5,4,"True"
38,"[93]CbxPMzBOjFcwtRejaDcHGaBNcJmaOxcRByrnphARLGnQHHqOzlySchHOHdKcCLyQDlymADyMiCpRqvsLcuRkHOFiftrJw",652530,1,93,59,0,59,0,0,0,0,0,37,37,11,11,11,11,"True"
