trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",55.5112,0.947368,93,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
1,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",14.5519,0.923077,93,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
2,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",35.5271,0.941176,93,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
3,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",22.7374,0.933333,93,15,0,14,1,0,0,0,0,11,11,3,2,1,1,"True"
4,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",14.5519,0.923077,93,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
5,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",9.31323,0.909091,93,11,0,10,1,0,0,0,0,7,7,3,2,1,1,"True"
6,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
7,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",55.5112,0.947368,93,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
8,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
9,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",22.7374,0.933333,93,15,0,14,1,0,0,0,0,11,11,3,2,1,1,"True"
10,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",35.5271,0.941176,93,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
11,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",22.7374,0.933333,93,15,0,14,1,0,0,0,0,11,11,3,2,1,1,"True"
12,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",9.31323,0.909091,93,11,0,10,1,0,0,0,0,8,8,2,1,1,1,"True"
13,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",55.5112,0.947368,93,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
14,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",22.7374,0.933333,93,15,0,14,1,0,0,0,0,11,11,3,2,1,1,"True"
15,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",14.5519,0.923077,93,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
16,"[93]CbxPMzBOjFcrtRojaMcHGaBNcJmaOxcRqyrGphARLGjiHHqOzlySchHeHdKcCLdyQDlzmANyMiApRqvsoRcnHOFiftrJw",55.5112,0.947368,93,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
