trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",522024,0.983333,98,60,0,59,1,0,0,0,0,38,37,11,11,11,11,"True"
1,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",522024,0.983333,98,60,0,59,1,0,0,0,0,38,37,11,11,11,11,"True"
2,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",44841.6,0.979592,98,49,0,48,1,0,0,0,0,33,32,10,10,6,6,"True"
3,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",1262.18,0.969697,98,33,0,32,1,0,0,0,0,21,20,5,5,7,7,"True"
4,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",2465.19,0.972222,98,36,0,35,1,0,0,0,0,26,25,5,5,5,5,"True"
5,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",44841.6,0.979592,98,49,0,48,1,0,0,0,0,33,32,10,10,6,6,"True"
6,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",522024,0.983333,98,60,0,59,1,0,0,0,0,38,37,11,11,11,11,"True"
7,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",522024,0.983333,98,60,0,59,1,0,0,0,0,38,37,11,11,11,11,"True"
8,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",2465.19,0.972222,98,36,0,35,1,0,0,0,0,26,25,5,5,5,5,"True"
9,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",2465.19,0.972222,98,36,0,35,1,0,0,0,0,26,25,5,5,5,5,"True"
10,"[98]zDcnoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRrwtcRtngmQcbstjKMmreQjeLRGRiwISHfyLScEbQcBPlArj",522024,0.983333,98,60,0,59,1,0,0,0,0,38,37,11,11,11,11,"True"
