trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",55.5112,0.947368,97,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
1,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",35.5271,0.941176,97,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
2,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",69.3889,0.95,97,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
3,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",69.3889,0.95,97,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
4,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",55.5112,0.947368,97,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
5,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",14.5519,0.923077,97,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
6,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",35.5271,0.941176,97,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
7,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",14.5519,0.923077,97,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
8,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",35.5271,0.941176,97,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
9,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",55.5112,0.947368,97,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
10,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",35.5271,0.941176,97,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
11,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",14.5519,0.923077,97,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
12,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",14.5519,0.923077,97,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
13,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",55.5112,0.947368,97,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
14,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",69.3889,0.95,97,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
15,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",14.5519,0.923077,97,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
16,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",55.5112,0.947368,97,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
17,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",14.5519,0.923077,97,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
18,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",14.5519,0.923077,97,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
19,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",35.5271,0.941176,97,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
20,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",35.5271,0.941176,97,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
21,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",35.5271,0.941176,97,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
22,"[97]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHwfGcyeqKSsicCdcSBLwbcwtrgmSwIswjKMmreQjcRGRiwIrSIfyLScEmsFBPccre",14.5519,0.923077,97,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
