trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",55.5112,0.947368,96,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
1,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",14.5519,0.923077,96,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
2,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",69.3889,0.95,96,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
3,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",55.5112,0.947368,96,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
4,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",14.5519,0.923077,96,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
5,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",55.5112,0.947368,96,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
6,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",14.5519,0.923077,96,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
7,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",55.5112,0.947368,96,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
8,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",69.3889,0.95,96,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
9,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",35.5271,0.941176,96,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
10,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",35.5271,0.941176,96,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
11,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",55.5112,0.947368,96,19,0,18,1,0,0,0,0,13,13,1,1,5,4,"True"
12,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",14.5519,0.923077,96,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
13,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",69.3889,0.95,96,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
14,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",14.5519,0.923077,96,13,0,12,1,0,0,0,0,9,9,1,1,3,2,"True"
15,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",35.5271,0.941176,96,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
16,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",35.5271,0.941176,96,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
17,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",69.3889,0.95,96,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
18,"[96]ADcQoOudeaNcJcRbGpcAGHcNdGScQNcNHwfGayeqKSsicCdcSRLwbcwtGgmScIswjKMmreQjcRGRiwISIfyLScEmsFBPccrj",35.5271,0.941176,96,17,0,16,1,0,0,0,0,12,12,2,2,3,2,"True"
