trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
1,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
2,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
3,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
4,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
5,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
6,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
7,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
8,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
9,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
10,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",14.5519,0.8,97,20,4,16,2,3,3,6,3,13,12,2,2,3,2,"True"
11,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
12,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
13,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",14.5519,0.75,97,24,6,18,2,5,5,10,5,14,13,1,1,5,4,"True"
14,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",18.1899,0.76,97,25,6,19,2,5,5,10,5,14,13,2,2,5,4,"True"
15,"[97]ADcQoOuteyNcJcRbGpccDHcNdsScQNcNHOwfGcyeqKSsicCdcSzLwbmwtrgmwItljScmxfQjcRGRiwIrSIpyLScEMJdBPccre",5.96046,0.75,97,16,4,12,2,3,3,6,3,10,9,1,1,3,2,"True"
