trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",5.96046,1,97,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True"
1,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",5.96046,1,97,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True"
2,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",11.6415,1,97,10,0,10,0,0,0,0,0,8,8,2,2,0,0,"True"
3,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",3.05176,1,97,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True"
4,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",11.6415,1,97,10,0,10,0,0,0,0,0,8,8,2,2,0,0,"True"
5,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",11.6415,1,97,10,0,10,0,0,0,0,0,8,8,2,2,0,0,"True"
6,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",4.76837,1,97,6,0,6,0,0,0,0,0,4,4,2,2,0,0,"True"
7,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",11.6415,1,97,10,0,10,0,0,0,0,0,8,8,2,2,0,0,"True"
8,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",5.96046,1,97,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True"
9,"[97]ltPNocQhGkcHcyNcJMqScKBRCHHiGRsOjonnaJMuamSAbPCkSpmBQBfpxucMfGcnSmMxKFeoqhujvKFACItzfyjvbpbOnfuim",5.96046,1,97,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True"
