trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
1,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
2,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
3,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
4,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
5,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
6,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
7,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
8,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
9,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
10,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
11,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
12,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
13,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
14,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
15,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
16,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
17,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
18,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
19,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
20,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
21,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
22,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
23,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
24,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
25,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
26,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
27,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
28,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
29,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
30,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
31,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
32,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
33,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
34,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
35,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
36,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
37,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
38,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
39,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
40,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
41,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
42,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
43,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,76,76,19,19,22,22,"True"
44,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
45,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.18008e+11,1,95,116,0,116,0,0,0,0,0,71,71,22,22,23,23,"True"
46,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
47,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",1.74406e+11,1,95,115,0,115,0,0,0,0,0,72,72,23,23,20,20,"True"
48,"[95]hxNNnocQLGkcHcyNcJMqScKBRCxpgoDSJloncpNuamSvPbLphBQqpkbccMLcKbJLMPFrvvEhuJMscHCnOzGAiwAbkzenfJi",2.72509e+11,1,95,117,0,117,0,0,0,0,0,79,79,20,20,18,18,"True"
