trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",1.94672e+22,0.87541,99,305,38,267,38,38,0,38,38,134,134,65,65,106,68,"True"
1,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",3.72917e+16,0.889908,99,218,24,194,24,24,0,24,24,104,104,40,40,74,50,"True"
2,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",1.94672e+22,0.882943,99,299,35,264,35,35,0,35,35,123,123,69,69,107,72,"True"
3,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",3.23454e+18,0.876984,99,252,31,221,31,31,0,31,31,111,111,55,55,86,55,"True"
4,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",7.28354e+16,0.864979,99,237,32,205,32,32,0,32,32,99,99,56,56,82,50,"True"
5,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",7.82064e+15,0.882629,99,213,25,188,25,25,0,25,25,93,93,55,55,65,40,"True"
6,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",5.42666e+17,0.85,99,260,39,221,39,39,0,39,39,118,118,54,54,88,49,"True"
7,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",7.82064e+15,0.886256,99,211,24,187,24,24,0,24,24,101,101,45,45,65,41,"True"
8,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",1.13805e+17,0.903226,99,217,21,196,21,21,0,21,21,99,99,52,52,66,45,"True"
9,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",9.19311e+19,0.883895,99,267,31,236,31,31,0,31,31,119,119,60,60,88,57,"True"
10,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",1.08065e+24,0.882353,99,323,38,285,38,38,0,38,38,141,141,70,70,112,74,"True"
11,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",3.26605e+21,0.877133,99,293,36,257,36,36,0,36,36,127,127,64,64,102,66,"True"
12,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",4.70687e+19,0.874074,99,270,34,236,34,34,0,34,34,116,116,58,58,96,62,"True"
13,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",6.31746e+18,0.86692,99,263,35,228,35,35,0,35,35,121,121,53,53,89,54,"True"
14,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",6.379e+21,0.875839,99,298,37,261,37,37,0,37,37,125,125,74,74,99,62,"True"
15,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",1.42257e+17,0.885965,99,228,26,202,26,26,0,26,26,102,102,51,51,75,49,"True"
16,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",2.26628e+23,0.882166,99,314,37,277,37,37,0,37,37,134,134,75,75,105,68,"True"
17,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",7.89683e+18,0.88189,99,254,30,224,30,30,0,30,30,116,116,51,51,87,57,"True"
18,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",1.81302e+23,0.876972,99,317,39,278,39,39,0,39,39,132,132,80,80,105,66,"True"
19,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",1.90934e+16,0.884793,99,217,25,192,25,25,0,25,25,99,99,51,51,67,42,"True"
20,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",8.47915e+17,0.868,99,250,33,217,33,33,0,33,33,107,107,57,57,86,53,"True"
21,"[99]xHRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcwvHMNJtNdD",1.43642e+20,0.88764,99,267,30,237,30,30,0,30,30,114,114,56,56,97,67,"True"
