trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",1.94672e+22,0.87541,99,305,38,267,38,38,0,38,38,134,134,65,65,106,68,"True"
1,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",3.72917e+16,0.889908,99,218,24,194,24,24,0,24,24,104,104,40,40,74,50,"True"
2,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",1.94672e+22,0.882943,99,299,35,264,35,35,0,35,35,123,123,69,69,107,72,"True"
3,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",3.23454e+18,0.876984,99,252,31,221,31,31,0,31,31,111,111,55,55,86,55,"True"
4,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",7.28354e+16,0.864979,99,237,32,205,32,32,0,32,32,99,99,56,56,82,50,"True"
5,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",7.82064e+15,0.882629,99,213,25,188,25,25,0,25,25,93,93,55,55,65,40,"True"
6,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",5.42666e+17,0.85,99,260,39,221,39,39,0,39,39,118,118,54,54,88,49,"True"
7,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",7.82064e+15,0.886256,99,211,24,187,24,24,0,24,24,101,101,45,45,65,41,"True"
8,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",1.13805e+17,0.903226,99,217,21,196,21,21,0,21,21,99,99,52,52,66,45,"True"
9,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",9.19311e+19,0.883895,99,267,31,236,31,31,0,31,31,119,119,60,60,88,57,"True"
10,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",8.64516e+23,0.881988,99,322,38,284,38,38,0,38,38,141,141,69,69,112,74,"False"
11,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",1.68851e+24,0.883077,99,325,38,287,38,38,0,38,38,137,137,70,70,118,80,"False"
12,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",3.23454e+18,0.876984,99,252,31,221,31,31,0,31,31,109,109,57,57,86,55,"True"
13,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",3.7655e+19,0.873606,99,269,34,235,34,34,0,34,34,120,120,59,59,90,56,"True"
14,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",1.92794e+19,0.892857,99,252,27,225,27,27,0,27,27,119,119,56,56,77,50,"True"
15,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxvNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJuNsk",3.20333e+15,0.876777,99,211,26,185,26,26,0,26,26,100,100,46,46,65,39,"True"
