trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",6.44115e+24,0.956989,99,279,12,267,12,12,0,12,12,134,134,65,65,80,68,"True"
1,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.65608e+18,0.965174,99,201,7,194,7,7,0,7,7,104,104,40,40,57,50,"True"
2,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",5.15292e+24,0.963504,99,274,10,264,10,10,0,10,10,123,123,69,69,82,72,"True"
3,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",4.38362e+20,0.96087,99,230,9,221,9,9,0,9,9,111,111,55,55,64,55,"True"
4,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",6.31746e+18,0.9447,99,217,12,205,12,12,0,12,12,99,99,56,56,62,50,"True"
5,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",2.77845e+17,0.954315,99,197,9,188,9,9,0,9,9,93,93,55,55,49,40,"True"
6,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.79553e+20,0.944444,99,234,13,221,13,13,0,13,13,118,118,54,54,62,49,"True"
7,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",3.47306e+17,0.963918,99,194,7,187,7,7,0,7,7,101,101,45,45,48,41,"True"
8,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",5.05397e+18,0.98,99,200,4,196,4,4,0,4,4,99,99,52,52,49,45,"True"
9,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",6.379e+21,0.951613,99,248,12,236,12,12,0,12,12,119,119,60,60,69,57,"True"
10,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",2.28836e+26,0.953177,99,299,14,285,14,14,0,14,14,141,141,70,70,88,74,"False"
11,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",8.72938e+26,0.969492,99,295,9,286,9,9,0,9,9,137,137,70,70,88,79,"False"
12,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",2.80552e+20,0.952586,99,232,11,221,11,11,0,11,11,109,109,57,57,66,55,"True"
13,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",4.08256e+21,0.947581,99,248,13,235,13,13,0,13,13,120,120,59,59,69,56,"True"
14,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.07022e+21,0.961538,99,234,9,225,9,9,0,9,9,119,119,56,56,59,50,"True"
15,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",2.77845e+17,0.968586,99,191,6,185,6,6,0,6,6,100,100,46,46,45,39,"True"
16,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",7.89683e+18,0.970874,99,206,6,200,6,6,0,6,6,108,108,50,50,48,42,"True"
17,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.35081e+24,0.966165,99,266,9,257,9,9,0,9,9,131,131,63,63,72,63,"True"
18,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.23388e+19,0.957944,99,214,9,205,9,9,0,9,9,109,109,43,43,62,53,"True"
19,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",3.54106e+23,0.944853,99,272,15,257,15,15,0,15,15,121,121,74,74,77,62,"True"
20,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",9.87103e+18,0.966507,99,209,7,202,7,7,0,7,7,101,101,54,54,54,47,"True"
21,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.43642e+20,0.96,99,225,9,216,9,9,0,9,9,114,114,51,51,60,51,"True"
22,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",3.0124e+19,0.971698,99,212,6,206,6,6,0,6,6,107,107,46,46,59,53,"True"
23,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",9.37311e+25,0.955631,99,293,13,280,13,13,0,13,13,128,128,75,75,90,77,"True"
24,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",9.96719e+21,0.952,99,250,12,238,12,12,0,12,12,114,114,72,72,64,52,"True"
25,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",8.64516e+23,0.962406,99,266,10,256,10,10,0,10,10,116,116,63,63,87,77,"True"
26,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",9.19311e+19,0.963801,99,221,8,213,8,8,0,8,8,113,113,49,49,59,51,"True"
27,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",5.1032e+21,0.978541,99,233,5,228,5,5,0,5,5,114,114,52,52,67,62,"True"
28,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",4.38362e+20,0.977477,99,222,5,217,5,5,0,5,5,114,114,49,49,59,54,"True"
29,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",4.70687e+19,0.967593,99,216,7,209,7,7,0,7,7,119,119,47,47,50,43,"True"
30,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.67222e+21,0.954167,99,240,11,229,11,11,0,11,11,118,118,62,62,60,49,"True"
31,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.67222e+21,0.946721,99,244,13,231,13,13,0,13,13,107,107,65,65,72,59,"True"
32,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",4.46944e+26,0.969178,99,292,9,283,9,9,0,9,9,140,140,69,69,83,74,"True"
33,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",8.47915e+17,0.96,99,200,8,192,8,8,0,8,8,107,107,46,46,47,39,"True"
34,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",7.28354e+16,0.967568,99,185,6,179,6,6,0,6,6,94,94,43,43,48,42,"True"
35,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",6.91613e+23,0.948718,99,273,14,259,14,14,0,14,14,130,130,67,67,76,62,"True"
36,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",4.12234e+24,0.96679,99,271,9,262,9,9,0,9,9,127,127,65,65,79,70,"True"
37,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",7.28354e+16,0.957672,99,189,8,181,8,8,0,8,8,93,93,48,48,48,40,"True"
38,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.79553e+20,0.977064,99,218,5,213,5,5,0,5,5,100,100,54,54,64,59,"True"
39,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.57255e+25,0.960854,99,281,11,270,11,11,0,11,11,137,137,68,68,76,65,"True"
40,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.67222e+21,0.939516,99,248,15,233,15,15,0,15,15,113,113,74,74,61,46,"True"
41,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",4.08256e+21,0.958678,99,242,10,232,10,10,0,10,10,116,116,64,64,62,52,"True"
42,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",2.58763e+18,0.974874,99,199,5,194,5,5,0,5,5,104,104,42,42,53,48,"True"
43,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",5.15292e+24,0.947183,99,284,15,269,15,15,0,15,15,130,130,78,78,76,61,"True"
44,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",4.75273e+22,0.953307,99,257,12,245,12,12,0,12,12,130,130,56,56,71,59,"True"
45,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.14914e+20,0.959821,99,224,9,215,9,9,0,9,9,106,106,55,55,63,54,"True"
46,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",2.24441e+20,0.960352,99,227,9,218,9,9,0,9,9,111,111,58,58,58,49,"True"
47,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",4.42632e+23,0.955056,99,267,12,255,12,12,0,12,12,124,124,71,71,72,60,"True"
48,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",9.19311e+19,0.963801,99,221,8,213,8,8,0,8,8,107,107,48,48,66,58,"True"
49,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",1.79553e+20,0.95614,99,228,10,218,10,10,0,10,10,103,103,60,60,65,55,"True"
50,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",5.00521e+15,0.944751,99,181,10,171,10,10,0,10,10,95,95,40,40,46,36,"True"
51,"[99]xmRdcLPDpNHogQJMqRwtfoctApchoIpBxdNQmEopebveHcpLhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQSwvHMNJtNdD",5.1032e+21,0.951417,99,247,12,235,12,12,0,12,12,110,110,61,61,76,64,"True"
