trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",4.66146e+16,0.846154,98,247,38,209,38,38,0,38,38,112,112,49,49,86,48,"True"
1,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",1.77821e+17,0.849802,98,253,38,215,38,38,0,38,38,110,110,51,51,92,54,"True"
2,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",6.78332e+17,0.864542,98,251,34,217,34,34,0,34,34,112,112,42,42,97,63,"True"
3,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",2.56267e+15,0.849558,98,226,34,192,34,34,0,34,34,101,101,45,45,80,46,"True"
4,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",4.70687e+19,0.850694,98,288,43,245,43,43,0,43,43,123,123,61,61,104,61,"True"
5,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",1.77821e+17,0.836502,98,263,43,220,43,43,0,43,43,104,104,59,59,100,57,"True"
6,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",3.0124e+19,0.842466,98,292,46,246,46,46,0,46,46,117,117,65,65,110,64,"True"
7,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",2.56267e+15,0.855856,98,222,32,190,32,32,0,32,32,101,101,44,44,77,45,"True"
8,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",1.13805e+17,0.848606,98,251,38,213,38,38,0,38,38,118,118,54,54,79,41,"True"
9,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",6.25651e+15,0.840336,98,238,38,200,38,38,0,38,38,105,105,55,55,78,40,"True"
10,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",3.0124e+19,0.852113,98,284,42,242,42,42,0,42,42,121,121,59,59,104,62,"True"
11,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",3.26605e+21,0.842105,98,323,51,272,51,51,0,51,51,124,124,75,75,124,73,"True"
12,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",3.23454e+18,0.836879,98,282,46,236,46,46,0,46,46,114,114,68,68,100,54,"True"
13,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",1.23388e+19,0.857664,98,274,39,235,39,39,0,39,39,112,112,53,53,109,70,"True"
14,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",2.07011e+18,0.828671,98,286,49,237,49,49,0,49,49,108,108,64,64,114,65,"True"
15,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",9.87103e+18,0.844523,98,283,44,239,44,44,0,44,44,123,123,59,59,101,57,"True"
16,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",1.54235e+19,0.845614,98,285,44,241,44,44,0,44,44,116,116,65,65,104,60,"True"
17,"[98]xHRdcLPlpxHgQJMqRwtfocPApchoIpBxvNQvEopebveHcpvhNixQbnNIwNNKHOnocSdMpJyFMNApRvRBaRsMGzQcutHMNJuNsk",2.38667e+16,0.83871,98,248,40,208,40,40,0,40,40,114,114,48,48,86,46,"True"
